Depth (ft),Sv (psi)
5566.5,6262.048395
5567,6262.63145
5567.5,6263.214825
5568,6263.797913
5568.5,6264.379029
5569,6264.958684
5569.5,6265.540531
5570,6266.12466
5570.5,6266.709497
5571,6267.29552
5571.5,6267.880568
5572,6268.463954
5572.5,6269.046876
5573,6269.630972
5573.5,6270.218223
5574,6270.807934
5574.5,6271.402108
5575,6271.998275
5575.5,6272.587642
5576,6273.165536
5576.5,6273.739198
5577,6274.314844
5577.5,6274.889049
5578,6275.462989
5578.5,6276.036342
5579,6276.609263
5579.5,6277.183224
5580,6277.759634
5580.5,6278.339244
5581,6278.914657
5581.5,6279.483048
5582,6280.051206
5582.5,6280.627439
5583,6281.206008
5583.5,6281.780202
5584,6282.353732
5584.5,6282.925712
5585,6283.496074
5585.5,6284.067212
5586,6284.643721
5586.5,6285.22981
5587,6285.816386
5587.5,6286.395232
5588,6286.964443
5588.5,6287.526433
5589,6288.087625
5589.5,6288.654145
5590,6289.232226
5590.5,6289.821771
5591,6290.415402
5591.5,6291.007062
5592,6291.598998
5592.5,6292.193028
5593,6292.780424
5593.5,6293.351905
5594,6293.912832
5594.5,6294.473005
5595,6295.040909
5595.5,6295.610817
5596,6296.179729
5596.5,6296.75368
5597,6297.325371
5597.5,6297.896409
5598,6298.469607
5598.5,6299.041686
5599,6299.615216
5599.5,6300.190252
5600,6300.770549
5600.5,6301.352341
5601,6301.923689
5601.5,6302.486964
5602,6303.052265
5602.5,6303.624621
5603,6304.201418
5603.5,6304.769942
5604,6305.331256
5604.5,6305.894929
5605,6306.467308
5605.5,6307.04076
5606,6307.61213
5606.5,6308.184763
5607,6308.752202
5607.5,6309.318046
5608,6309.885651
5608.5,6310.454208
5609,6311.022544
5609.5,6311.59367
5610,6312.164121
5610.5,6312.732801
5611,6313.303241
5611.5,6313.881599
5612,6314.471631
5612.5,6315.064753
5613,6315.655249
5613.5,6316.241671
5614,6316.820594
5614.5,6317.394877
5615,6317.965439
5615.5,6318.530962
5616,6319.098777
5616.5,6319.673736
5617,6320.256258
5617.5,6320.842181
5618,6321.425114
5618.5,6321.998688
5619,6322.564754
5619.5,6323.129523
5620,6323.69375
5620.5,6324.253868
5621,6324.813355
5621.5,6325.376464
5622,6325.941588
5622.5,6326.511817
5623,6327.084306
5623.5,6327.655344
5624,6328.223049
5624.5,6328.78742
5625,6329.353153
5625.5,6329.921178
5626,6330.488872
5626.5,6331.056443
5627,6331.626883
5627.5,6332.205076
5628,6332.790611
5628.5,6333.370952
5629,6333.944006
5629.5,6334.524015
5630,6335.111931
5630.5,6335.700722
5631,6336.288052
5631.5,6336.865347
5632,6337.43025
5632.5,6338.000657
5633,6338.577443
5633.5,6339.147595
5634,6339.710194
5634.5,6340.279792
5635,6340.85629
5635.5,6341.412366
5636,6341.965053
5636.5,6342.529567
5637,6343.092366
5637.5,6343.65399
5638,6344.212059
5638.5,6344.772399
5639,6345.339129
5639.5,6345.91823
5640,6346.506655
5640.5,6347.094428
5641,6347.694139
5641.5,6348.315048
5642,6348.930873
5642.5,6349.528203
5643,6350.121037
5643.5,6350.715133
5644,6351.314678
5644.5,6351.899771
5645,6352.475648
5645.5,6353.060907
5646,6353.654527
5646.5,6354.258723
5647,6354.86168
5647.5,6355.453439
5648,6356.035109
5648.5,6356.59732
5649,6357.142177
5649.5,6357.687477
5650,6358.234172
